candidate_index,source,objective_avg_total_time,best_so_far_avg_total_time,weights_json,waiting,maneuver,exit_competition,path_conflict,approach_queue
39,precomposed_plausible_set,50.15,49.95,"{""approach_queue"": 0.85, ""exit_competition"": 1.84, ""maneuver"": 0.12, ""path_conflict"": 1.86, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.2}",1.2,0.12,1.84,1.86,0.85
40,precomposed_plausible_set,50.12,49.95,"{""approach_queue"": 0.81, ""exit_competition"": 1.56, ""maneuver"": 0.93, ""path_conflict"": 2.37, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.69}",1.69,0.93,1.56,2.37,0.81
41,precomposed_plausible_set,50.18,49.95,"{""approach_queue"": 0.08, ""exit_competition"": 0.7, ""maneuver"": 0.58, ""path_conflict"": 0.88, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.14}",1.14,0.58,0.7,0.88,0.08
42,precomposed_plausible_set,50.1,49.95,"{""approach_queue"": 0.96, ""exit_competition"": 0.82, ""maneuver"": 0.06, ""path_conflict"": 1.41, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.98}",0.98,0.06,0.82,1.41,0.96
43,precomposed_plausible_set,50.25,49.95,"{""approach_queue"": 0.8, ""exit_competition"": 1.94, ""maneuver"": 0.64, ""path_conflict"": 1.02, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.79}",0.79,0.64,1.94,1.02,0.8
44,precomposed_plausible_set,50.12,49.95,"{""approach_queue"": 1.27, ""exit_competition"": 1.73, ""maneuver"": 0.02, ""path_conflict"": 2.38, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.31}",1.31,0.02,1.73,2.38,1.27
45,precomposed_plausible_set,50.28,49.95,"{""approach_queue"": 0.84, ""exit_competition"": 1.26, ""maneuver"": 1.37, ""path_conflict"": 2.27, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.76}",1.76,1.37,1.26,2.27,0.84
46,precomposed_plausible_set,50.21,49.95,"{""approach_queue"": 0.17, ""exit_competition"": 1.81, ""maneuver"": 0.01, ""path_conflict"": 1.48, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.57}",0.57,0.01,1.81,1.48,0.17
47,precomposed_plausible_set,50.3,49.95,"{""approach_queue"": 0.71, ""exit_competition"": 1.31, ""maneuver"": 1.1, ""path_conflict"": 2.19, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.66}",1.66,1.1,1.31,2.19,0.71
48,precomposed_plausible_set,50.05,49.95,"{""approach_queue"": 1.36, ""exit_competition"": 0.69, ""maneuver"": 0.58, ""path_conflict"": 1.03, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.56}",1.56,0.58,0.69,1.03,1.36
49,precomposed_plausible_set,50.19,49.95,"{""approach_queue"": 0.32, ""exit_competition"": 0.82, ""maneuver"": 0.45, ""path_conflict"": 2.4, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.93}",0.93,0.45,0.82,2.4,0.32
