run_index,scenario_seed,allocation_json,spawn_plan_json,goal_plan_json,fcfs_total_time,fixed_heuristic_total_time,bo_heuristic_total_time,best_policy,best_total_time,second_best_total_time,margin_to_second,is_tie
24,30024,"{""EAST"": 4, ""NORTH"": 5, ""SOUTH"": 3, ""WEST"": 4}","{""EAST"": [3, 5, 6, 8], ""NORTH"": [0, 1, 3, 5, 7], ""SOUTH"": [2, 3, 5], ""WEST"": [1, 5, 5, 7]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""]}",64,55,54,bo_heuristic,54,55,1,False
25,30025,"{""EAST"": 3, ""NORTH"": 4, ""SOUTH"": 5, ""WEST"": 4}","{""EAST"": [2, 8, 8], ""NORTH"": [0, 3, 7, 8], ""SOUTH"": [0, 5, 5, 7, 8], ""WEST"": [2, 2, 4, 8]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""]}",45,43,42,bo_heuristic,42,43,1,False
26,30026,"{""EAST"": 3, ""NORTH"": 3, ""SOUTH"": 6, ""WEST"": 4}","{""EAST"": [0, 0, 3], ""NORTH"": [1, 8, 8], ""SOUTH"": [0, 0, 4, 6, 6, 8], ""WEST"": [2, 2, 6, 7]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT""]}",50,49,49,"fixed_heuristic,bo_heuristic",49,49,0,True
27,30027,"{""EAST"": 3, ""NORTH"": 6, ""SOUTH"": 5, ""WEST"": 2}","{""EAST"": [3, 3, 5], ""NORTH"": [0, 0, 1, 4, 4, 7], ""SOUTH"": [2, 3, 4, 4, 6], ""WEST"": [1, 6]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT""]}",61,53,54,fixed_heuristic,53,54,1,False
28,30028,"{""EAST"": 3, ""NORTH"": 5, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [6, 8, 8], ""NORTH"": [0, 0, 1, 1, 3], ""SOUTH"": [0, 2, 5, 6], ""WEST"": [1, 1, 6, 6]}","{""EAST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""N_EXIT"", ""S_EXIT""]}",54,52,52,"fixed_heuristic,bo_heuristic",52,52,0,True
29,30029,"{""EAST"": 4, ""NORTH"": 3, ""SOUTH"": 5, ""WEST"": 4}","{""EAST"": [1, 3, 5, 5], ""NORTH"": [5, 5, 6], ""SOUTH"": [0, 2, 2, 4, 8], ""WEST"": [4, 6, 6, 7]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""N_EXIT"", ""S_EXIT""]}",55,52,48,bo_heuristic,48,52,4,False
30,30030,"{""EAST"": 6, ""NORTH"": 4, ""SOUTH"": 4, ""WEST"": 2}","{""EAST"": [1, 2, 5, 5, 6, 8], ""NORTH"": [3, 4, 4, 6], ""SOUTH"": [1, 3, 6, 7], ""WEST"": [1, 6]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT""]}",61,54,54,"fixed_heuristic,bo_heuristic",54,54,0,True
31,30031,"{""EAST"": 6, ""NORTH"": 3, ""SOUTH"": 3, ""WEST"": 4}","{""EAST"": [1, 3, 4, 5, 6, 8], ""NORTH"": [1, 3, 8], ""SOUTH"": [0, 2, 3], ""WEST"": [1, 2, 7, 8]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""E_EXIT""]}",61,52,53,fixed_heuristic,52,53,1,False
32,30032,"{""EAST"": 5, ""NORTH"": 2, ""SOUTH"": 6, ""WEST"": 3}","{""EAST"": [1, 2, 2, 5, 8], ""NORTH"": [0, 2], ""SOUTH"": [1, 5, 7, 8, 8, 8], ""WEST"": [0, 0, 1]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT""]}",51,46,45,bo_heuristic,45,46,1,False
33,30033,"{""EAST"": 5, ""NORTH"": 3, ""SOUTH"": 5, ""WEST"": 3}","{""EAST"": [0, 0, 2, 3, 6], ""NORTH"": [6, 8, 8], ""SOUTH"": [0, 2, 2, 4, 8], ""WEST"": [1, 1, 7]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""N_EXIT""]}",61,54,54,"fixed_heuristic,bo_heuristic",54,54,0,True
