run_index,scenario_seed,allocation_json,spawn_plan_json,goal_plan_json,fcfs_total_time,fixed_heuristic_total_time,bo_heuristic_total_time,best_policy,best_total_time,second_best_total_time,margin_to_second,is_tie
73,30073,"{""EAST"": 5, ""NORTH"": 4, ""SOUTH"": 5, ""WEST"": 2}","{""EAST"": [1, 3, 3, 4, 6], ""NORTH"": [1, 5, 5, 6], ""SOUTH"": [0, 0, 1, 1, 3], ""WEST"": [4, 6]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT""]}",58,54,53,bo_heuristic,53,54,1,False
74,30074,"{""EAST"": 4, ""NORTH"": 2, ""SOUTH"": 6, ""WEST"": 4}","{""EAST"": [2, 4, 4, 8], ""NORTH"": [1, 6], ""SOUTH"": [0, 5, 5, 5, 7, 7], ""WEST"": [1, 1, 4, 7]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""]}",51,45,50,fixed_heuristic,45,50,5,False
75,30075,"{""EAST"": 4, ""NORTH"": 5, ""SOUTH"": 4, ""WEST"": 3}","{""EAST"": [0, 1, 2, 7], ""NORTH"": [0, 0, 3, 5, 5], ""SOUTH"": [2, 4, 5, 8], ""WEST"": [1, 2, 7]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""E_EXIT""]}",42,38,40,fixed_heuristic,38,40,2,False
76,30076,"{""EAST"": 5, ""NORTH"": 4, ""SOUTH"": 3, ""WEST"": 4}","{""EAST"": [2, 2, 4, 5, 8], ""NORTH"": [1, 2, 4, 4], ""SOUTH"": [0, 0, 7], ""WEST"": [3, 4, 5, 7]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT""]}",51,49,46,bo_heuristic,46,49,3,False
77,30077,"{""EAST"": 4, ""NORTH"": 5, ""SOUTH"": 3, ""WEST"": 4}","{""EAST"": [1, 3, 5, 6], ""NORTH"": [1, 3, 4, 6, 8], ""SOUTH"": [0, 3, 8], ""WEST"": [0, 0, 6, 7]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""]}",49,43,40,bo_heuristic,40,43,3,False
78,30078,"{""EAST"": 4, ""NORTH"": 5, ""SOUTH"": 3, ""WEST"": 4}","{""EAST"": [1, 4, 5, 7], ""NORTH"": [0, 0, 2, 8, 8], ""SOUTH"": [0, 2, 5], ""WEST"": [2, 4, 5, 6]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""N_EXIT"", ""N_EXIT""]}",63,55,55,"fixed_heuristic,bo_heuristic",55,55,0,True
79,30079,"{""EAST"": 3, ""NORTH"": 5, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [6, 7, 8], ""NORTH"": [2, 3, 5, 7, 8], ""SOUTH"": [0, 1, 4, 7], ""WEST"": [0, 4, 4, 7]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""E_EXIT""]}",60,52,52,"fixed_heuristic,bo_heuristic",52,52,0,True
80,30080,"{""EAST"": 4, ""NORTH"": 3, ""SOUTH"": 4, ""WEST"": 5}","{""EAST"": [2, 7, 7, 8], ""NORTH"": [1, 1, 3], ""SOUTH"": [2, 6, 6, 7], ""WEST"": [0, 4, 5, 5, 7]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""]}",51,51,51,"fcfs,fixed_heuristic,bo_heuristic",51,51,0,True
81,30081,"{""EAST"": 4, ""NORTH"": 4, ""SOUTH"": 5, ""WEST"": 3}","{""EAST"": [3, 3, 5, 6], ""NORTH"": [1, 2, 3, 8], ""SOUTH"": [0, 3, 5, 7, 7], ""WEST"": [1, 3, 6]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""S_EXIT""]}",56,53,53,"fixed_heuristic,bo_heuristic",53,53,0,True
82,30082,"{""EAST"": 6, ""NORTH"": 3, ""SOUTH"": 3, ""WEST"": 4}","{""EAST"": [1, 3, 5, 7, 7, 8], ""NORTH"": [1, 6, 8], ""SOUTH"": [3, 4, 7], ""WEST"": [3, 4, 6, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT""]}",51,46,50,fixed_heuristic,46,50,4,False
83,30083,"{""EAST"": 4, ""NORTH"": 4, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [2, 4, 8, 8], ""NORTH"": [1, 2, 3, 4], ""SOUTH"": [6, 7, 7, 8], ""WEST"": [0, 1, 2, 5]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""]}",50,46,45,bo_heuristic,45,46,1,False
84,30084,"{""EAST"": 4, ""NORTH"": 4, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [2, 4, 5, 6], ""NORTH"": [0, 5, 6, 6], ""SOUTH"": [1, 1, 3, 7], ""WEST"": [2, 3, 4, 7]}","{""EAST"": [""S_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""E_EXIT""]}",50,48,46,bo_heuristic,46,48,2,False
85,30085,"{""EAST"": 4, ""NORTH"": 2, ""SOUTH"": 4, ""WEST"": 6}","{""EAST"": [2, 5, 7, 8], ""NORTH"": [5, 8], ""SOUTH"": [0, 6, 6, 7], ""WEST"": [2, 2, 3, 4, 7, 7]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""E_EXIT""]}",58,60,52,bo_heuristic,52,58,6,False
86,30086,"{""EAST"": 6, ""NORTH"": 3, ""SOUTH"": 3, ""WEST"": 4}","{""EAST"": [1, 2, 2, 4, 5, 6], ""NORTH"": [2, 3, 5], ""SOUTH"": [1, 4, 7], ""WEST"": [2, 3, 3, 6]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT""]}",56,50,46,bo_heuristic,46,50,4,False
87,30087,"{""EAST"": 6, ""NORTH"": 3, ""SOUTH"": 2, ""WEST"": 5}","{""EAST"": [2, 2, 2, 4, 6, 7], ""NORTH"": [0, 4, 8], ""SOUTH"": [2, 5], ""WEST"": [2, 5, 6, 7, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""N_EXIT""]}",53,47,48,fixed_heuristic,47,48,1,False
88,30088,"{""EAST"": 3, ""NORTH"": 5, ""SOUTH"": 2, ""WEST"": 6}","{""EAST"": [2, 3, 4], ""NORTH"": [3, 4, 4, 5, 8], ""SOUTH"": [3, 8], ""WEST"": [0, 1, 1, 5, 7, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""]}",47,45,45,"fixed_heuristic,bo_heuristic",45,45,0,True
89,30089,"{""EAST"": 6, ""NORTH"": 2, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [0, 0, 2, 4, 7, 8], ""NORTH"": [5, 7], ""SOUTH"": [1, 2, 4, 4], ""WEST"": [1, 1, 7, 8]}","{""EAST"": [""S_EXIT"", ""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""]}",64,60,56,bo_heuristic,56,60,4,False
90,30090,"{""EAST"": 5, ""NORTH"": 4, ""SOUTH"": 4, ""WEST"": 3}","{""EAST"": [0, 4, 4, 5, 7], ""NORTH"": [0, 2, 2, 8], ""SOUTH"": [6, 6, 7, 8], ""WEST"": [1, 1, 5]}","{""EAST"": [""S_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""E_EXIT""]}",44,43,40,bo_heuristic,40,43,3,False
91,30091,"{""EAST"": 3, ""NORTH"": 2, ""SOUTH"": 6, ""WEST"": 5}","{""EAST"": [3, 6, 7], ""NORTH"": [1, 7], ""SOUTH"": [1, 2, 3, 4, 6, 8], ""WEST"": [3, 3, 7, 8, 8]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT""]}",56,53,55,fixed_heuristic,53,55,2,False
92,30092,"{""EAST"": 4, ""NORTH"": 2, ""SOUTH"": 5, ""WEST"": 5}","{""EAST"": [0, 5, 7, 8], ""NORTH"": [5, 8], ""SOUTH"": [1, 1, 3, 3, 6], ""WEST"": [0, 1, 3, 3, 8]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""N_EXIT""]}",53,48,49,fixed_heuristic,48,49,1,False
93,30093,"{""EAST"": 4, ""NORTH"": 2, ""SOUTH"": 4, ""WEST"": 6}","{""EAST"": [3, 5, 5, 7], ""NORTH"": [4, 5], ""SOUTH"": [2, 2, 3, 5], ""WEST"": [0, 2, 6, 6, 6, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""N_EXIT""]}",56,49,49,"fixed_heuristic,bo_heuristic",49,49,0,True
94,30094,"{""EAST"": 4, ""NORTH"": 5, ""SOUTH"": 4, ""WEST"": 3}","{""EAST"": [0, 5, 6, 7], ""NORTH"": [1, 2, 7, 7, 8], ""SOUTH"": [4, 6, 7, 8], ""WEST"": [0, 3, 8]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT""]}",55,52,49,bo_heuristic,49,52,3,False
95,30095,"{""EAST"": 4, ""NORTH"": 4, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [1, 5, 7, 8], ""NORTH"": [2, 3, 3, 7], ""SOUTH"": [0, 2, 4, 5], ""WEST"": [4, 5, 7, 8]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT""]}",50,46,47,fixed_heuristic,46,47,1,False
96,30096,"{""EAST"": 4, ""NORTH"": 3, ""SOUTH"": 6, ""WEST"": 3}","{""EAST"": [2, 2, 4, 6], ""NORTH"": [2, 2, 8], ""SOUTH"": [1, 2, 3, 4, 4, 6], ""WEST"": [1, 7, 8]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT""]}",62,57,57,"fixed_heuristic,bo_heuristic",57,57,0,True
97,30097,"{""EAST"": 6, ""NORTH"": 5, ""SOUTH"": 3, ""WEST"": 2}","{""EAST"": [4, 4, 7, 8, 8, 8], ""NORTH"": [0, 0, 1, 4, 8], ""SOUTH"": [0, 5, 7], ""WEST"": [3, 7]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT""]}",50,45,43,bo_heuristic,43,45,2,False
98,30098,"{""EAST"": 3, ""NORTH"": 5, ""SOUTH"": 4, ""WEST"": 4}","{""EAST"": [0, 2, 8], ""NORTH"": [0, 2, 3, 4, 6], ""SOUTH"": [0, 1, 3, 4], ""WEST"": [3, 5, 6, 7]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""]}",57,56,55,bo_heuristic,55,56,1,False
99,30099,"{""EAST"": 6, ""NORTH"": 5, ""SOUTH"": 2, ""WEST"": 3}","{""EAST"": [0, 2, 2, 3, 3, 7], ""NORTH"": [3, 5, 7, 8, 8], ""SOUTH"": [1, 6], ""WEST"": [0, 2, 4]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""E_EXIT""]}",49,45,45,"fixed_heuristic,bo_heuristic",45,45,0,True
