run_index,scenario_seed,fcfs_total_time,fixed_heuristic_total_time,bo_heuristic_total_time,best_policy,num_best_policies,fixed_minus_fcfs,fixed_improvement_pct_vs_fcfs,bo_minus_fcfs,bo_improvement_pct_vs_fcfs,bo_minus_fixed,bo_improvement_pct_vs_fixed
85,30085,58,60,52,bo_heuristic,1,2,-3.4482758620689653,-6,10.344827586206897,-8,13.333333333333334
86,30086,56,50,46,bo_heuristic,1,-6,10.714285714285714,-10,17.857142857142858,-4,8.0
87,30087,53,47,48,fixed_heuristic,1,-6,11.320754716981133,-5,9.433962264150944,1,-2.127659574468085
88,30088,47,45,45,"fixed_heuristic,bo_heuristic",2,-2,4.25531914893617,-2,4.25531914893617,0,0.0
89,30089,64,60,56,bo_heuristic,1,-4,6.25,-8,12.5,-4,6.666666666666667
90,30090,44,43,40,bo_heuristic,1,-1,2.272727272727273,-4,9.090909090909092,-3,6.976744186046512
91,30091,56,53,55,fixed_heuristic,1,-3,5.357142857142857,-1,1.7857142857142856,2,-3.7735849056603774
92,30092,53,48,49,fixed_heuristic,1,-5,9.433962264150944,-4,7.547169811320755,1,-2.083333333333333
93,30093,56,49,49,"fixed_heuristic,bo_heuristic",2,-7,12.5,-7,12.5,0,0.0
94,30094,55,52,49,bo_heuristic,1,-3,5.454545454545454,-6,10.909090909090908,-3,5.769230769230769
95,30095,50,46,47,fixed_heuristic,1,-4,8.0,-3,6.0,1,-2.1739130434782608
96,30096,62,57,57,"fixed_heuristic,bo_heuristic",2,-5,8.064516129032258,-5,8.064516129032258,0,0.0
97,30097,50,45,43,bo_heuristic,1,-5,10.0,-7,14.000000000000002,-2,4.444444444444445
98,30098,57,56,55,bo_heuristic,1,-1,1.7543859649122806,-2,3.508771929824561,-1,1.7857142857142856
99,30099,49,45,45,"fixed_heuristic,bo_heuristic",2,-4,8.16326530612245,-4,8.16326530612245,0,0.0
