trial_index,source,objective_avg_total_time,best_so_far_avg_total_time,weights_json,gp_mu,gp_sigma,lcb,waiting,maneuver,exit_competition,path_conflict,approach_queue
27,lcb,50.2,49.69,"{""approach_queue"": 1.8083656190255386, ""exit_competition"": -2.2054435693917522, ""maneuver"": 1.2441666587513476, ""path_conflict"": 1.4517062838238952, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.309864926124116}",50.04821260676538,0.384058412875215,48.89603736813974,2.309864926124116,1.2441666587513476,-2.2054435693917522,1.4517062838238952,1.8083656190255386
28,lcb,49.97,49.69,"{""approach_queue"": 0.5000041413238443, ""exit_competition"": -0.8725018760604142, ""maneuver"": -1.9896670860781942, ""path_conflict"": -0.9570242115228056, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.9727574741739222}",50.08933317609258,0.3808034860152837,48.94692271804673,0.9727574741739222,-1.9896670860781942,-0.8725018760604142,-0.9570242115228056,0.5000041413238443
29,lcb,49.93,49.69,"{""approach_queue"": 1.9677006867245996, ""exit_competition"": -0.6560168676477662, ""maneuver"": -1.9399429218853421, ""path_conflict"": 2.50768258895181, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.9959228266955131}",49.81013686483688,0.28038705532438674,48.968975698863716,0.9959228266955131,-1.9399429218853421,-0.6560168676477662,2.50768258895181,1.9677006867245996
30,lcb,49.82,49.69,"{""approach_queue"": -0.34692581948657786, ""exit_competition"": -0.959959589106361, ""maneuver"": -1.8893480789440402, ""path_conflict"": 2.686283095710315, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.7936569203748203}",49.59883610329795,0.2017963732695371,48.993446983489335,1.7936569203748203,-1.8893480789440402,-0.959959589106361,2.686283095710315,-0.34692581948657786
31,lcb,49.83,49.69,"{""approach_queue"": 1.981062674406207, ""exit_competition"": 0.5237014781051457, ""maneuver"": -1.310188207564848, ""path_conflict"": 2.39130634246356, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.4999285294415308}",49.78546851235144,0.26167659415136596,49.00043872989735,2.4999285294415308,-1.310188207564848,0.5237014781051457,2.39130634246356,1.981062674406207
32,lcb,50.38,49.69,"{""approach_queue"": -2.2793780287972836, ""exit_competition"": 2.438164423501873, ""maneuver"": 1.2063297454568231, ""path_conflict"": -0.8233266839444191, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.396947792996946}",50.07574259710742,0.35433702251792554,49.01273152955365,2.396947792996946,1.2063297454568231,2.438164423501873,-0.8233266839444191,-2.2793780287972836
33,lcb,50.24,49.69,"{""approach_queue"": 1.2016554108389776, ""exit_competition"": 2.3008222792695268, ""maneuver"": -1.783484077562541, ""path_conflict"": -0.9440106576534828, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.23636261501041783}",50.1428756077154,0.3621830600758001,49.056326427488,0.23636261501041783,-1.783484077562541,2.3008222792695268,-0.9440106576534828,1.2016554108389776
34,lcb,49.84,49.69,"{""approach_queue"": -2.3335246671584864, ""exit_competition"": -0.026396351135786755, ""maneuver"": -1.973996770415853, ""path_conflict"": -0.6603774092122019, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 1.6513477551141653}",49.811017174320504,0.25065960999003256,49.059038344350405,1.6513477551141653,-1.973996770415853,-0.026396351135786755,-0.6603774092122019,-2.3335246671584864
35,lcb,50.16,49.69,"{""approach_queue"": -1.2354551216880796, ""exit_competition"": -2.4637706423008003, ""maneuver"": 0.19634999646371654, ""path_conflict"": -0.9810438309360743, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.498181914881145}",50.02711946525639,0.31776737019072615,49.07381735468421,2.498181914881145,0.19634999646371654,-2.4637706423008003,-0.9810438309360743,-1.2354551216880796
36,lcb,50.15,49.69,"{""approach_queue"": 1.6012017004998222, ""exit_competition"": 2.4265597424653773, ""maneuver"": -1.4651833363829279, ""path_conflict"": 2.720926778712146, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 0.3611247884292462}",49.96591860350754,0.2962630763908532,49.07712937433498,0.3611247884292462,-1.4651833363829279,2.4265597424653773,2.720926778712146,1.6012017004998222
