feature,weight,overall_avg_total_time,case_1_avg_total_time,case_2_avg_total_time,case_3_avg_total_time,case_4_avg_total_time,best_so_far_avg_total_time,weights_json
waiting,2.0,58.5125,54.24,54.0,67.55,58.26,58.5125,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.0}"
waiting,2.25,58.52,54.29,53.98,67.55,58.26,58.5125,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.25}"
waiting,2.5,58.55,54.22,53.96,67.75,58.27,58.5125,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.5}"
waiting,2.75,58.52,54.16,53.93,67.72,58.27,58.5125,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 2.75}"
waiting,3.0,58.4725,54.16,53.87,67.57,58.29,58.4725,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 3.0}"
waiting,3.25,58.4725,54.16,53.87,67.57,58.29,58.4725,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 3.25}"
waiting,3.5,58.475,54.17,53.86,67.62,58.25,58.4725,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 3.5}"
waiting,3.75,58.4775,54.18,53.86,67.62,58.25,58.4725,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 3.75}"
waiting,4.0,58.4375,54.17,53.83,67.5,58.25,58.4375,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 4.0}"
waiting,4.25,58.43,54.18,53.79,67.5,58.25,58.43,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 4.25}"
waiting,4.5,58.4175,54.14,53.78,67.5,58.25,58.4175,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 4.5}"
waiting,4.75,58.3875,54.05,53.73,67.5,58.27,58.3875,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 4.75}"
waiting,5.0,58.38,54.05,53.73,67.55,58.19,58.38,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 5.0}"
waiting,5.25,58.3625,54.05,53.67,67.54,58.19,58.3625,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 5.25}"
waiting,5.5,58.36,54.04,53.67,67.54,58.19,58.36,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 5.5}"
waiting,5.75,58.36,54.04,53.67,67.54,58.19,58.36,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 5.75}"
waiting,6.0,58.3675,54.09,53.65,67.54,58.19,58.36,"{""approach_queue"": 1.0, ""exit_competition"": 1.0, ""maneuver"": 1.0, ""path_conflict"": 1.0, ""remaining_path"": 0.0, ""same_direction_backlog"": 0.0, ""waiting"": 6.0}"
