seed,policy_type,num_robots,num_aisles,capacity,arrival_rate,Favg,Fmax,Throughput,BlockingTime,AvgQueueLength,DeadlockCount,TriggerCount,RerouteCount,CollisionAttempts,ForcedRelocationCount,RobotUtilization,AverageTravelDistance,Zone0AvgQueueLength,Zone1AvgQueueLength,Zone2AvgQueueLength,Zone3AvgQueueLength,Zone4AvgQueueLength
0,rule_based,5,6,large,low,53.24324324324324,147.0,37.0,378.0,0.282,2.0,0.0,52.0,168,2,0.8196,334.2,0.094,0.028,0.004,0.034,0.122
0,fsd,5,6,large,low,47.921052631578945,91.0,38.0,105.0,0.03,0.0,53.0,0.0,56,0,0.7908,374.4,0.002,0.006,0.0,0.014,0.008
0,rule_based,5,6,large,medium,82.38235294117646,357.0,34.0,559.0,9.804,0.0,0.0,81.0,323,0,0.9532,364.8,4.666,0.662,0.604,1.48,2.392
0,fsd,5,6,large,medium,73.59183673469387,166.0,49.0,98.0,4.424,0.0,40.0,3.0,59,0,0.9576,459.2,1.76,0.142,0.236,0.756,1.53
0,rule_based,5,6,large,high,64.38775510204081,284.0,49.0,594.0,22.326,2.0,0.0,82.0,307,2,0.9768,369.6,2.53,7.532,5.1,5.97,1.194
0,fsd,5,6,large,high,137.35849056603774,309.0,53.0,173.0,21.394,0.0,81.0,0.0,106,0,0.9772,454.0,2.076,6.436,4.764,7.402,0.716
0,rule_based,5,12,small,low,28.575,67.0,40.0,71.0,0.0,1.0,0.0,9.0,28,1,0.4684,220.0,0.0,0.0,0.0,0.0,0.0
0,fsd,5,12,small,low,27.487179487179485,57.0,39.0,17.0,0.0,0.0,7.0,0.0,10,0,0.46,226.6,0.0,0.0,0.0,0.0,0.0
0,rule_based,5,12,small,medium,44.64,160.0,50.0,654.0,4.598,0.0,0.0,67.0,319,0,0.9508,344.6,0.574,1.084,1.948,0.554,0.438
0,fsd,5,12,small,medium,55.69642857142857,113.0,56.0,135.0,1.952,0.0,62.0,0.0,84,0,0.952,449.0,0.864,0.176,0.316,0.288,0.308
